año-mes,Hydraulic Cylinders Projects,NUEVO,RECLAMO,REINGRESO
2021-03,53,45,8.0,0.0
2021-04,23,17,4.0,2.0
2021-05,18,18,0.0,0.0
2021-06,40,37,2.0,1.0
2021-07,28,28,0.0,0.0
2021-08,44,37,2.0,5.0
2021-09,40,37,0.0,3.0
2021-10,44,42,1.0,1.0
2021-11,28,23,0.0,5.0
2021-12,49,44,1.0,4.0
2022-01,45,43,0.0,2.0
2022-02,16,15,0.0,1.0
2022-03,57,43,0.0,14.0
2022-04,42,35,1.0,6.0
2022-05,43,40,0.0,3.0
2022-06,41,37,0.0,4.0
2022-07,34,28,5.0,1.0
2022-08,32,31,1.0,0.0
2022-09,27,26,0.0,1.0
2022-10,40,33,2.0,5.0
2022-11,33,29,2.0,2.0
2022-12,29,27,0.0,2.0
2023-01,24,22,1.0,1.0
2023-02,27,26,0.0,1.0
2023-03,35,27,0.0,8.0
2023-04,37,34,1.0,2.0
2023-05,29,27,0.0,2.0
2023-06,41,40,0.0,1.0
2023-07,53,43,2.0,8.0
2023-08,42,39,0.0,3.0
2023-09,19,17,2.0,0.0
2023-10,35,30,0.0,5.0
2023-11,14,13,0.0,1.0
2023-12,33,30,0.0,3.0
2024-01,28,25,2.0,1.0
2024-02,31,26,0.0,5.0
2024-03,32,32,0.0,0.0
2024-04,31,27,0.0,4.0
2024-05,25,22,0.0,3.0
2024-06,26,24,1.0,1.0
2024-07,19,16,3.0,0.0
2024-08,11,11,0.0,0.0
2024-09,27,26,0.0,1.0
2024-10,33,31,0.0,2.0
2024-11,19,19,0.0,0.0
2024-12,15,15,0.0,0.0
2025-01,15,15,0.0,0.0
