año-mes,NUEVO,RECLAMO,REINGRESO
2021-03,92.6,7.4,0.0
2021-04,96.2,0.0,3.8
2021-05,92.0,4.0,4.0
2021-06,88.0,0.0,12.0
2021-07,93.5,0.0,6.5
2021-08,93.5,2.2,4.3
2021-09,98.5,0.0,1.5
2021-10,97.7,0.0,2.3
2021-11,89.3,3.6,7.1
2021-12,91.3,0.0,8.7
2022-01,100.0,0.0,0.0
2022-02,88.9,0.0,11.1
2022-03,94.1,2.9,2.9
2022-04,87.5,6.2,6.2
2022-05,96.8,3.2,0.0
2022-06,100.0,0.0,0.0
2022-07,92.5,5.0,2.5
2022-08,100.0,0.0,0.0
2022-09,96.2,1.9,1.9
2022-10,96.2,0.0,3.8
2022-11,94.3,1.9,3.8
2022-12,100.0,0.0,0.0
2023-01,89.5,5.3,5.3
2023-02,100.0,0.0,0.0
2023-03,97.4,0.0,2.6
2023-04,100.0,0.0,0.0
2023-05,97.3,2.7,0.0
2023-06,100.0,0.0,0.0
2023-07,95.3,0.0,4.7
2023-08,93.8,0.0,6.2
2023-09,94.3,0.0,5.7
2023-10,92.1,2.6,5.3
2023-11,100.0,0.0,0.0
2023-12,100.0,0.0,0.0
2024-01,81.2,6.2,12.5
2024-02,92.9,0.0,7.1
2024-03,82.1,10.7,7.1
2024-04,100.0,0.0,0.0
2024-05,100.0,0.0,0.0
2024-06,96.4,3.6,0.0
2024-07,100.0,0.0,0.0
2024-08,100.0,0.0,0.0
2024-09,100.0,0.0,0.0
2024-10,100.0,0.0,0.0
2024-11,100.0,0.0,0.0
2024-12,100.0,0.0,0.0
2025-01,100.0,0.0,0.0
