año-mes,NUEVO,RECLAMO,REINGRESO
2021-03,87.5,12.5,0.0
2021-04,85.7,8.2,6.1
2021-05,95.3,2.3,2.3
2021-06,90.8,3.1,6.2
2021-07,96.6,0.0,3.4
2021-08,88.9,3.3,7.8
2021-09,96.2,0.0,3.8
2021-10,96.6,1.1,2.3
2021-11,85.7,1.8,12.5
2021-12,90.3,1.4,8.3
2022-01,97.6,0.0,2.4
2022-02,91.2,0.0,8.8
2022-03,82.4,1.1,16.5
2022-04,85.1,4.1,10.8
2022-05,94.6,1.4,4.1
2022-06,94.4,0.0,5.6
2022-07,87.8,9.5,2.7
2022-08,98.0,2.0,0.0
2022-09,96.2,1.2,2.5
2022-10,87.9,3.0,9.1
2022-11,91.9,3.5,4.7
2022-12,96.6,0.0,3.4
2023-01,90.3,4.8,4.8
2023-02,98.4,0.0,1.6
2023-03,87.7,0.0,12.3
2023-04,95.5,1.5,3.0
2023-05,96.1,2.0,2.0
2023-06,98.8,0.0,1.2
2023-07,87.5,2.1,10.4
2023-08,93.2,0.0,6.8
2023-09,92.6,3.7,3.7
2023-10,89.0,1.4,9.6
2023-11,96.6,0.0,3.4
2023-12,95.8,0.0,4.2
2024-01,85.0,6.7,8.3
2024-02,86.7,0.0,13.3
2024-03,91.7,5.0,3.3
2024-04,94.2,0.0,5.8
2024-05,93.0,0.0,7.0
2024-06,94.4,3.7,1.9
2024-07,92.9,7.1,0.0
2024-08,100.0,0.0,0.0
2024-09,98.1,0.0,1.9
2024-10,97.0,0.0,3.0
2024-11,100.0,0.0,0.0
2024-12,100.0,0.0,0.0
2025-01,100.0,0.0,0.0
