,Numero OT,Fecha recepcion,Cliente,Tipo de ingreso,Responsable de ingreso,Descripcion del proyecto,Dimensiones [mm] anchoxlargoxalto,año,año-mes
0,5580,2021-03-02,ALL PACK,NUEVO,GUSTAVO MARTINEZ,KIT DE SELLOS,,2021,2021-03
1,5581,2021-03-02,OLIVOS DEL VALLE,NUEVO,GUSTAVO MARTINEZ,CON COE,,2021,2021-03
2,5579,2021-03-02,FRAU ALBORS,NUEVO,GUSTAVO MARTINEZ,CILINDRO HIDRÁULICO,,2021,2021-03
3,5583,2021-03-03,SULLAIR,NUEVO,GUSTAVO MARTINEZ,CILINDRO ELEVACIÓN DE CUCHARA,,2021,2021-03
4,5587,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO BRAZO MANIPULADOR SANDVIK,,2021,2021-03
5,5585,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,2000X300X300,2021,2021-03
6,5586,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,2000X300X300,2021,2021-03
7,5588,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,2000X300X300,2021,2021-03
8,5587-40,2021-03-03,NEWMONT,NUEVO,,CILINDRO EXTENSION DE MANIPULADOR,,2021,2021-03
9,5589,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,2000X300X300,2021,2021-03
10,5582,2021-03-03,CAPRA,NUEVO,GUSTAVO MARTINEZ,MOTOR DE TRASLACIÓN ,,2021,2021-03
11,5590,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,,2021,2021-03
12,5591,2021-03-03,NEWMONT,NUEVO,GUSTAVO MARTINEZ,CILINDRO TOLVA SANDVIK,2000X300X300,2021,2021-03
13,5584,2021-03-03,AGV,NUEVO,GUSTAVO MARTINEZ,CILINDRO CHUCK DE CHINA,,2021,2021-03
14,5592,2021-03-05,GRÚAS MARTIN,NUEVO,GUSTAVO MARTINEZ,PISTÓN CAMBIÓ DE SELLOS,,2021,2021-03
15,5595,2021-03-05,CAPUTO,NUEVO,GUSTAVO MARTINEZ,CILINDRO DE HORNO,,2021,2021-03
16,5504-1,2021-03-05,VG,RECLAMO,GUSTAVO MARTINEZ,CILINDRO COE,,2021,2021-03
17,5593,2021-03-05,WEG,NUEVO,GUSTAVO MARTINEZ,CILINDRO TENSORES ,,2021,2021-03
18,5594,2021-03-05,CONCI,NUEVO,GUSTAVO MARTINEZ,EJE RODILLO,,2021,2021-03
19,5596,2021-03-08,HOLCIM,NUEVO,GUSTAVO MARTINEZ,CILINDRO EMPUJANDO DE HORNO,,2021,2021-03
20,5598,2021-03-09,CANTERAS DIQUECITO,NUEVO,GUSTAVO MARTINEZ,CILINDRO DE LEVANTE CATALÁN 336,2300X250X250,2021,2021-03
21,5597,2021-03-09,EVN S.A,NUEVO,GUSTAVO MARTINEZ,MARTILLO CATALÁN H65E,,2021,2021-03
22,5600,2021-03-10,HDC,NUEVO,GUILLERMO SANCHEZ,CILINDRODE PRENSA ALGODONERA ,,2021,2021-03
23,5601,2021-03-10,HDC,NUEVO,GUILLERMO SANCHEZ,CILINDRODE PRENSA ALGODONERA ,,2021,2021-03
24,5603,2021-03-10,LEONARDO APELLANIZ,NUEVO,GUILLERMO SANCHEZ,CILINDRO TRACTOR ZANELLA,550X180X150 ,2021,2021-03
25,5599,2021-03-10,HDC,NUEVO,GUILLERMO SANCHEZ,CILINDRODE PRENSA ALGODONERA ,,2021,2021-03
26,5604,2021-03-10,LEONARDO APELLANIZ,NUEVO,GUILLERMO SANCHEZ,CILINDRO TRACTOR ZANELLA,550X180X150,2021,2021-03
27,5602,2021-03-10,APE S.A.,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE MOTO NIVELADORA,,2021,2021-03
28,5605,2021-03-11,AGV FALCON DRILLING,NUEVO,GUILLERMO SANCHEZ,CILINDRO CHUCK DE CHINA,,2021,2021-03
29,5606,2021-03-11,AGV FALCON DRILLING,NUEVO,GUILLERMO SANCHEZ,CILINDRO CHUCK DE CHINA,,2021,2021-03
30,5608,2021-03-11,AGV FALCON DRILLING,NUEVO,GUILLERMO SANCHEZ,CILINDRO CHUCK DE CHINA,,2021,2021-03
31,5607,2021-03-11,AGV FALCON DRILLING,NUEVO,GUILLERMO SANCHEZ,CILINDRO CHUCK DE CHINA,,2021,2021-03
32,5611,2021-03-12,ASTORI,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE LEVANTE,,2021,2021-03
33,5614,2021-03-12,CORRUGADORA CENTRO,NUEVO,GUILLERMO SANCHEZ,CILINDRO NEUMÁTICO,500X400X400,2021,2021-03
34,5613,2021-03-12,ASTORI,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE CONTRAPESO,,2021,2021-03
35,5610,2021-03-12,TECNOFUNDACIONES,NUEVO,GUILLERMO SANCHEZ,VÁSTAGO C\PISTÓN Y TAPA SIN ANCLAJE,,2021,2021-03
36,5609,2021-03-12,TECNOFUNDACIONES,NUEVO,GUILLERMO SANCHEZ,CILINDRO ALMEJA,,2021,2021-03
37,5612,2021-03-12,ASTORI,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE CONTRAPESO,900X250X250,2021,2021-03
38,5615,2021-03-15,AGV SERVICIOS MINEROS,NUEVO,GUILLERMO SANCHEZ,KIT DE SELLOS DE FRENO DE ESTACIONAMIENTO,,2021,2021-03
39,3620-01-01,2021-03-15,CANTERAS DIQUECITO,NUEVO,GUILLERMO SANCHEZ,MARTILLO DE PERFORACIÓN,,2021,2021-03
40,5616,2021-03-15,HDC,NUEVO,GUILLERMO SANCHEZ,KIT DE SELLOS,,2021,2021-03
41,5619,2021-03-16,CORRUGADORA CENTRO,NUEVO,FERNANDO HEREDIA,CILINDRO CON TENSORES,1000X150X150,2021,2021-03
42,5617,2021-03-16,CARLOS CONCI,NUEVO,GUILLERMO SANCHEZ,CUCHILLA+MUESTRA,,2021,2021-03
43,5503-A,2021-03-16,VG,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,700X180X150 ,2021,2021-03
44,5620,2021-03-16,GRÚAS MARTIN,NUEVO,GUILLERMO SANCHEZ,KIT DE SELLOS,,2021,2021-03
45,5129-01-01,2021-03-16,ANE S.A.,NUEVO,FERNANDO HEREDIA,CILINDRO DIRECCIÓN TRACTOR NEW HOLAND,,2021,2021-03
46,5618,2021-03-16,MINERA LA ALUMBRERA,NUEVO,GUILLERMO SANCHEZ,CONECTOR DE PERFORACIÓN CANT.4,,2021,2021-03
47,4797-A,2021-03-18,ALL PACK,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,,2021,2021-03
48,5621,2021-03-18,HDC,NUEVO,GUILLERMO SANCHEZ,UNIDAD DE GIRO,600X250X250,2021,2021-03
49,5497-A,2021-03-18,VG,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,700X180X150,2021,2021-03
50,4877-A,2021-03-18,ALL PACK,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,700X180X150,2021,2021-03
51,5239-A,2021-03-18,SIEMS.A.,RECLAMO,GUILLERMO SANCHEZ,DISPOSITIVO RASCADOR,,2021,2021-03
52,5622,2021-03-19,HOLCIM MALAGUEÑO,NUEVO,GUILLERMO SANCHEZ,PLACA SANDVICK,,2021,2021-03
53,5623,2021-03-19,HORPAS,NUEVO,GUILLERMO SANCHEZ,"CONJUNTO SARANDA(1EJE,2RODAMIENTO,2CONTRAPESO ,2PORTA RODAMIENTOS,2 POLEAS)",,2021,2021-03
54,5186-01-01,2021-03-22,YMAD,NUEVO,FERNANDO HEREDIA,CILINDRO DE VUELCO CAT 938H,,2021,2021-03
55,5634,2021-03-22,FINNING,NUEVO,FERNANDO HEREDIA,MOTOR,,2021,2021-03
56,5626,2021-03-22,SAC HIDRÁULICA ,NUEVO,FERNANDO HEREDIA,CILINDRO DESPLAZABLE COMO LINDE H70 F6 NP: 21539,250X100X520,2021,2021-03
57,5627,2021-03-22,SAC HIDRÁULICA ,NUEVO,FERNANDO HEREDIA,CILINDRO DESPLAZABLE COMO LINDE H70 F6 NP: 21539,250X100X520,2021,2021-03
58,5624,2021-03-22,GRUMAQ,NUEVO,FERNANDO HEREDIA,CILINDRO RETRO 580M,,2021,2021-03
59,5632,2021-03-22,YMAD,NUEVO,FERNANDO HEREDIA,CILINDRO STICK 242-6744,2150X220X220,2021,2021-03
60,5516-A,2021-03-22,ALL PACK,RECLAMO,LUIS MATA,CILINDRO COE ,700X180X150,2021,2021-03
61,5630,2021-03-22,YMAD,NUEVO,FERNANDO HEREDIA,CILINDRO DE BOOM 242-6731,,2021,2021-03
62,4876-A,2021-03-22,ALL PACK,RECLAMO,LUIS MATA,CILINDRO COE ,700X180X150,2021,2021-03
63,5633,2021-03-22,YMAD,NUEVO,FERNANDO HEREDIA,CILINDRO DE BALDE 242-6756,130X130X1700,2021,2021-03
64,5631,2021-03-22,YMAD,NUEVO,FERNANDO HEREDIA,CILINDRO DE BOOM 242-6731,,2021,2021-03
65,3817-A,2021-03-22,ALL PACK,RECLAMO,LUIS MATA,CILINDRO COE ,,2021,2021-03
66,5625,2021-03-23,CANTERAS DIQUECITO,NUEVO,GUSTAVO MARTINEZ,MONTAJE RÁPIDO FARECIN,110X70X600,2021,2021-03
67,5635,2021-03-25,AXIA,NUEVO,FERNANDO HEREDIA,CILINDRO NEUMÁTICO BOSCH 200/530,,2021,2021-03
68,5636,2021-03-25,CLADY,NUEVO,OFICINA TÉCNICA,VASTAGO Ø95 X 1900 MM,,2021,2021-03
69,5638,2021-03-26,GRÚAS MARTIN,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS S/ MUESTRA,,2021,2021-03
70,5500-A,2021-03-26,ALL PACK,RECLAMO,GUSTAVO MARTINEZ,CAMISA COE,,2021,2021-03
71,5637,2021-03-26,FENIX,NUEVO,FERNANDO HEREDIA,CILINDRO ROLL-OFF ,,2021,2021-03
72,5641,2021-03-27,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE CORTO SOLDADURA DOBLE,,2021,2021-03
73,5642,2021-03-27,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE CORTO SOLDADURA DOBLE,,2021,2021-03
74,5639,2021-03-27,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE  LARGO SOLDADURA DOBLE,,2021,2021-03
75,5640,2021-03-27,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE  LARGO SOLDADURA DOBLE,,2021,2021-03
76,5643,2021-03-29,EXPOLAJAS,NUEVO,GUILLERMO SANCHEZ,TRAFORERA,,2021,2021-03
77,5644,2021-03-29,ASTORI,NUEVO,GUILLERMO SANCHEZ,CILINDRO DIRECCION,120X100X350,2021,2021-03
78,5645,2021-03-29,CAPUTO,NUEVO,GUILLERMO SANCHEZ,CILINDRO HIDRÁULICO,130X80X750,2021,2021-03
79,5646,2021-03-30,GRÚAS MARTIN,NUEVO,GUSTAVO MARTINEZ,RETÉN DE CONVERTIDOR DE GRÚA,,2021,2021-03
80,5649,2021-04-01,AGV FALCON DRILLING,NUEVO,OFICINA TÉCNICA,TRABAJOS AGV,,2021,2021-04
81,5400-1,2021-04-01,HOLCIM,REINGRESO,OFICINA TÉCNICA,PICA ROCA COMPLETO ,,2021,2021-04
82,5647,2021-04-01,ALL PACK,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-04
83,2264-A,2021-04-01,ALL PACK,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE LARGO,,2021,2021-04
84,5629,2021-04-01,JORGE CLADYS,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS,X,2021,2021-04
85,5628,2021-04-01,ALL PACK,NUEVO,FERNANDO HEREDIA,CILINDRO OMC PINZA,1050X160X130,2021,2021-04
86,5628,2021-04-01,ALL PACK,NUEVO,GUILLERMO SANCHEZ,CILINDRO OMC PINZA,,2021,2021-04
87,5650,2021-04-05,PALMAR,NUEVO,FERNANDO HEREDIA,CILINDRO DE BALDE KOMSATSU PC 200,900X300X300,2021,2021-04
88,5653,2021-04-06,CARLOS CONCI,NUEVO,GUILLERMO SANCHEZ,TAPA LEVANTA CONTENEDOR ,,2021,2021-04
89,5652,2021-04-06,EXPOLAJAS,NUEVO,FERNANDO HEREDIA,CILINDRO RECTIFICADORA GRANITO,,2021,2021-04
90,5651,2021-04-06,EXPOLAJAS,NUEVO,FERNANDO HEREDIA,CILINDRO RECTIFICADORA GRANITO,,2021,2021-04
91,5654,2021-04-08,AGRONORTE,NUEVO,GUSTAVO MARTINEZ,CILINDRO VOLADOR DE BALDE,100X160X1300,2021,2021-04
92,5503-B,2021-04-08,V.G. (COPELLO),RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,130X200X700,2021,2021-04
93,5662,2021-04-09,RENAULT SANTA ISABEL,NUEVO,OFICINA TÉCNICA,PILOTO E832318272,,2021,2021-04
94,5656,2021-04-09,EPEC,NUEVO,GUILLERMO SANCHEZ,GRÚA GROVE 50 TN,,2021,2021-04
95,5504-A,2021-04-12,V.G,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,700X200X150 ,2021,2021-04
96,5655,2021-04-13,CLADY,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS,,2021,2021-04
97,5660,2021-04-15,ALLONDA,NUEVO,OFICINA TÉCNICA,CONJUNTO DE SELLOS PARA CILINDRO HYTOP,,2021,2021-04
98,5661,2021-04-15,YMAD,NUEVO,OFICINA TÉCNICA,MORDAZAS SISTEMA LONG DHALE X 10 UNIDADES,,2021,2021-04
99,5658,2021-04-15,CAPEMI (GIACOMELLI),NUEVO,GUILLERMO SANCHEZ,VOLANTA.CHAVETA.GATILLO.BUENA CENTRADORES,,2021,2021-04
100,5659,2021-04-15,CONCI,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS,,2021,2021-04
101,5663,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,CAMISA COE LARGA MODIFICADA ,,2021,2021-04
102,5664,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,CAMISA COE LARGA MODIFICADA ,,2021,2021-04
103,5666,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-04
104,5648,2021-04-20,SULLAIR,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE BRAZO ( KIT DE SELLOS),310X250X2270,2021,2021-04
105,5667,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-04
106,5498-A,2021-04-20,VG,RECLAMO,GUILLERMO SANCHEZ,CILINDRO COE,,2021,2021-04
107,5668,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-04
108,5593-1,2021-04-20,WEG,REINGRESO,GUILLERMO SANCHEZ,CILINDRO HIDRÁULICO C/TENSORES,680 180X120,2021,2021-04
109,5665,2021-04-20,CAMSA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-04
110,5669,2021-04-21,CANTERA SAN AGUSTIN,NUEVO,GUILLERMO SANCHEZ,VÁSTAGO C/PISTÓN Y TAPA DE RETROEXCAVADORA,2300X250X250,2021,2021-04
111,5670,2021-04-22,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE CORTO ,,2021,2021-04
112,5671,2021-04-22,CAMSA,NUEVO,OFICINA TÉCNICA,CILINDRO COE CORTO ,,2021,2021-04
113,5672,2021-04-22,JOSÉ INVERGA,NUEVO,GUILLERMO SANCHEZ,CILINDRO AUTOELEVADOR,100X150X700,2021,2021-04
114,5673,2021-04-23,HIDROACCESORIOS,NUEVO,OFICINA TÉCNICA,VASTAGO Ø20 X 1000,,2021,2021-04
115,5676,2021-04-26,CANTESUR,NUEVO,GUILLERMO SANCHEZ,GATO 30 TN,,2021,2021-04
116,5679,2021-04-26,MINA PIRQUITAS,NUEVO,OFICINA TÉCNICA,CILINDRO ESPESADOR ,,2021,2021-04
117,5678,2021-04-26,MINA PIRQUITAS,NUEVO,OFICINA TÉCNICA,CILINDRO ESPESADOR ,,2021,2021-04
118,5677,2021-04-26,CANTESUR,NUEVO,GUILLERMO SANCHEZ,CILINDRO PLUMIN,,2021,2021-04
119,5675,2021-04-26,CANTESUR,NUEVO,GUILLERMO SANCHEZ,CILINDRO EXPANSOR,,2021,2021-04
120,5674,2021-04-26,MANSFIELD  MINERA,NUEVO,GUILLERMO SANCHEZ,BOMBA 3 CUERPOS .CAMIÓN 706,,2021,2021-04
121,5680,2021-04-27,ILASA,NUEVO,FERNANDO HEREDIA,CONTENEDOR 482-3-62,,2021,2021-04
122,5683,2021-04-28,CONCI,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS WIPER + POLY ESTANDAR,,2021,2021-04
123,5681,2021-04-28,INFUAL,NUEVO,GUILLERMO SANCHEZ,COLUMNA DE INYECTORA  WELLISH,,2021,2021-04
124,5682,2021-04-28,MAXION MONTICH S.A.,NUEVO,FERNANDO HEREDIA,CILINDRO ELEVADOR PARA PRENSAS,,2021,2021-04
125,5415-1,2021-04-29,BASAA S.A,REINGRESO,FERNANDO HEREDIA,CILINDRO DEL BOOM RETRO 336,2400X600X400,2021,2021-04
126,5684,2021-04-29,ANKA LOO,NUEVO,GUILLERMO SANCHEZ,"VÁSTAGO CAT C/TAPA,PISTÓN Y TUERCA",,2021,2021-04
127,3060-2,2021-04-29,CANTESUR,NUEVO,GUILLERMO SANCHEZ,CILINDRO  HIDRÁULICO LIEBHER,2500X350X350,2021,2021-04
128,5685,2021-04-30,CHEDIACK,NUEVO,GUILLERMO SANCHEZ,EJE DE RASTRA,,2021,2021-04
129,5687,2021-05-04,EPIROC,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE LEV. DE TORRE PIT VIPER#2,350X250X3100,2021,2021-05
130,5686,2021-05-04,EPIROC,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE LEV. DE TORRE PIT VIPER,350X250X3100,2021,2021-05
131,5690,2021-05-05,HOLCIM,NUEVO,GUILLERMO SANCHEZ,CILINDRO NEUMATICO,200 X250X1300,2021,2021-05
132,5688,2021-05-05,AGV FALCON DRILLING,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS CILINDRO ATLASCOPCO CHICO,,2021,2021-05
133,5692,2021-05-05,HOLCIM,NUEVO,GUILLERMO SANCHEZ,BOMBA EXPANSORA,,2021,2021-05
134,5691,2021-05-05,HOLCIM,NUEVO,GUILLERMO SANCHEZ,BOMBA EXPANSORA,,2021,2021-05
135,5160-01-01,2021-05-05,HOLCIM,NUEVO,GUILLERMO SANCHEZ,BOMBA EXPANSORA,,2021,2021-05
136,5689,2021-05-05,HOLCIM,NUEVO,GUILLERMO SANCHEZ,CILINDRO NEUMÁTICO ,200X250X1300,2021,2021-05
137,5693,2021-05-07,COPELLO,NUEVO,OFICINA TÉCNICA,CAMISA COE CORTA Y TAPA,,2021,2021-05
138,5695,2021-05-07,HDC,NUEVO,GUILLERMO SANCHEZ,PRENSA/COMPRESOR,550X300X450,2021,2021-05
139,5694,2021-05-07,COPELLO,NUEVO,OFICINA TÉCNICA,CAMISA COE CORTA + 20 MM Y TAPA,,2021,2021-05
140,5696,2021-05-10,MINA PIRQUITAS,NUEVO,GUILLERMO SANCHEZ,PICA ROCA SERIE 92902,,2021,2021-05
141,5697,2021-05-11,MINA PIRQUITAS,NUEVO,OFICINA TÉCNICA,CONJUNTO DE PERNOS + BUJES + BIELETA CAT 390F,,2021,2021-05
142,5698,2021-05-11,GRÚAS MARTIN,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS S/MUESTRA CILINDRO DIRECCION,,2021,2021-05
143,5702,2021-05-12,VALLE DE LA PUERTA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-05
144,5704,2021-05-12,VALLE DE LA PUERTA,NUEVO,OFICINA TÉCNICA,VASTAGO COE LARGO + PISTON,,2021,2021-05
145,5703,2021-05-12,VALLE DE LA PUERTA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-05
146,5699,2021-05-12,CASA DEL RETEN,NUEVO,OFICINA TÉCNICA,VASTAGO Ø18 X 400,,2021,2021-05
147,5700,2021-05-12,VALLE DE LA PUERTA,NUEVO,OFICINA TÉCNICA,VASTAGO COE CORTO + PISTON,,2021,2021-05
148,5705,2021-05-12,NEVADOS DEL FAMATINA,NUEVO,OFICINA TÉCNICA,CILINDRO COE CORTO,,2021,2021-05
149,5701,2021-05-12,VALLE DE LA PUERTA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS COE,,2021,2021-05
150,5706,2021-05-14,CHEDIACK,NUEVO,FERNANDO HEREDIA,JUEGO DE PASTILLAS PARA CORTE CON BULONES,,2021,2021-05
151,3326-1-A,2021-05-14,CANTERAS DIQUECITO,RECLAMO,FERNANDO HEREDIA,MARTILLO TD 51 SOOSAN,,2021,2021-05
152,5707,2021-05-18,APE S.A,NUEVO,GUSTAVO MARTINEZ,CILINDRO DE MOTO NIVELADORA,,2021,2021-05
153,5711,2021-05-19,PIMEM,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE BRAZO JLG,160X130X600,2021,2021-05
154,5712,2021-05-19,PIMEM,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE BRAZO JLG,1400X450X230,2021,2021-05
155,5708,2021-05-19,WEG,NUEVO,GUILLERMO SANCHEZ,CILINDRO HIDRÁULICO DE CISALLADORA,1200X300X300,2021,2021-05
156,5713,2021-05-19,PIMEM,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE BRAZO JLG,260X140X600,2021,2021-05
157,4489-1,2021-05-19,DIESEL RUIZ,REINGRESO,FERNANDO HEREDIA,CAMISA + CONJUNTO DE TAPA Y PISTON,,2021,2021-05
158,5714,2021-05-19,DIESEL RUIZ,NUEVO,FERNANDO HEREDIA,CAMISA + CONJUNTO DE TAPA Y PISTON,,2021,2021-05
159,5710,2021-05-19,PIMEM,NUEVO,GUILLERMO SANCHEZ,CILINDRO DE BRAZO JLG,1100X280X370,2021,2021-05
160,5709,2021-05-19,GIACOMELLI,NUEVO,OFICINA TÉCNICA,SELLO PARA CILINDRO BLOQUEO Ø320,,2021,2021-05
161,5715,2021-05-21,AGV FALCON DRILLING,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS ATLAS COPCO,,2021,2021-05
162,5716,2021-05-22,GRÚAS MARTIN,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS DE PISTON,,2021,2021-05
163,5719,2021-05-26,GRÚAS MARTIN,NUEVO,OFICINA TÉCNICA,TAPA + KIT DE SELLOS DE TAPA,,2021,2021-05
164,5720,2021-05-26,INGENIA GRUPO CONSULTOR S.A.,NUEVO,FERNANDO HEREDIA,2 VÁSTAGOS + 1 PISTON DE ESTABILIZADOR DE RETRO,,2021,2021-05
165,5717,2021-05-26,HOLCIM PETREOS,NUEVO,OFICINA TÉCNICA,AMP CONNECTIN KIT DANFOSS NP 157B4992 ,,2021,2021-05
166,5718,2021-05-26,CANTESUR,NUEVO,FERNANDO HEREDIA,CILINDRO CONO DE TRITURACION,,2021,2021-05
167,5721,2021-05-27,HOLCIM MALAGUEÑO,NUEVO,OFICINA TÉCNICA,EJES DE REDUCTOR MOLINO,,2021,2021-05
168,5723,2021-05-28,EXPOLAJAS,NUEVO,OFICINA TÉCNICA,CILINDRO NEUMATICO COMPACTO X 4 UNID,,2021,2021-05
169,5722,2021-05-28,GRÚAS MARTIN,NUEVO,OFICINA TÉCNICA,INTERMEDIA DE PISTON EN REF OT 5716,,2021,2021-05
170,5725,2021-05-31,WEG,NUEVO,FERNANDO HEREDIA,CILINDRO HIDRÁULICO DE MOVIMIENTO DE PLACA EXPULSORA (INYECTORA LK DCC 01),,2021,2021-05
171,5724,2021-05-31,WEG,NUEVO,FERNANDO HEREDIA,CILINDRO HIDRÁULICO DE MOVIMIENTO DE PLACA EXPULSORA (INYECTORA LK DCC 01),400X280X400,2021,2021-05
172,5727,2021-06-03,ILASA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS DE TAPA CILINDRO DE INYECTORA,,2021,2021-06
173,5726,2021-06-03,ILASA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS DE TAPA CILINDRO DE PRENSA,,2021,2021-06
174,5729,2021-06-04,GOSCA,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS,,2021,2021-06
175,5728,2021-06-04,PYMEM,NUEVO,GUSTAVO MARTINEZ,CILINDRO JLG 400,180X120X600,2021,2021-06
176,5731,2021-06-05,CORRUGADORA CENTRO,NUEVO,OFICINA TÉCNICA,KIT DE SELLOS PARA CILINDRO RISES Ø100 X 455,,2021,2021-06
177,5730,2021-06-05,CORRUGADORA CENTRO,NUEVO,OFICINA TÉCNICA,CILINDRO DE MÁQUINA PORTA BOBINAS ( RISES Ø100 X 455),,2021,2021-06
178,5735,2021-06-07,MINA PIRQUITAS,NUEVO,FERNANDO HEREDIA,CILINDRO SUSPENSIÓN DELANTERA,450X450X1700,2021,2021-06
179,5732,2021-06-07,MINA PIRQUITAS,NUEVO,FERNANDO HEREDIA,CILINDRO SUSPENSIÓN TRASERA ,2100X350X350,2021,2021-06
180,5733,2021-06-07,MINA PIRQUITAS,NUEVO,FERNANDO HEREDIA,CILINDRO SUSPENSIÓN TRASERA ,,2021,2021-06
